customer_code,full_name,email,phone,company_name,status,assigned_user_id
CUST-CSV-001,Customer CSV 1,customer.csv.001@smartcrm.test,082220000001,Nusantara Digital,Lead,
CUST-CSV-002,Customer CSV 2,customer.csv.002@smartcrm.test,082220000002,Mitra Retail Jaya,Active,
CUST-CSV-003,Customer CSV 3,customer.csv.003@smartcrm.test,082220000003,Borneo Logistics,Customer,
CUST-CSV-004,Customer CSV 4,customer.csv.004@smartcrm.test,082220000004,Sinar EduTech,Inactive,
CUST-CSV-005,Customer CSV 5,customer.csv.005@smartcrm.test,082220000005,Astra Prima,Lead,
CUST-CSV-006,Customer CSV 6,customer.csv.006@smartcrm.test,082220000006,Nusantara Digital,Active,
CUST-CSV-007,Customer CSV 7,customer.csv.007@smartcrm.test,082220000007,Mitra Retail Jaya,Customer,
CUST-CSV-008,Customer CSV 8,customer.csv.008@smartcrm.test,082220000008,Borneo Logistics,Inactive,
CUST-CSV-009,Customer CSV 9,customer.csv.009@smartcrm.test,082220000009,Sinar EduTech,Lead,
CUST-CSV-010,Customer CSV 10,customer.csv.010@smartcrm.test,082220000010,Astra Prima,Active,
CUST-CSV-011,Customer CSV 11,customer.csv.011@smartcrm.test,082220000011,Nusantara Digital,Customer,
CUST-CSV-012,Customer CSV 12,customer.csv.012@smartcrm.test,082220000012,Mitra Retail Jaya,Inactive,
CUST-CSV-013,Customer CSV 13,customer.csv.013@smartcrm.test,082220000013,Borneo Logistics,Lead,
CUST-CSV-014,Customer CSV 14,customer.csv.014@smartcrm.test,082220000014,Sinar EduTech,Active,
CUST-CSV-015,Customer CSV 15,customer.csv.015@smartcrm.test,082220000015,Astra Prima,Customer,
CUST-CSV-016,Customer CSV 16,customer.csv.016@smartcrm.test,082220000016,Nusantara Digital,Inactive,
CUST-CSV-017,Customer CSV 17,customer.csv.017@smartcrm.test,082220000017,Mitra Retail Jaya,Lead,
CUST-CSV-018,Customer CSV 18,customer.csv.018@smartcrm.test,082220000018,Borneo Logistics,Active,
CUST-CSV-019,Customer CSV 19,customer.csv.019@smartcrm.test,082220000019,Sinar EduTech,Customer,
CUST-CSV-020,Customer CSV 20,customer.csv.020@smartcrm.test,082220000020,Astra Prima,Inactive,
CUST-CSV-021,Customer CSV 21,customer.csv.021@smartcrm.test,082220000021,Nusantara Digital,Lead,
CUST-CSV-022,Customer CSV 22,customer.csv.022@smartcrm.test,082220000022,Mitra Retail Jaya,Active,
CUST-CSV-023,Customer CSV 23,customer.csv.023@smartcrm.test,082220000023,Borneo Logistics,Customer,
CUST-CSV-024,Customer CSV 24,customer.csv.024@smartcrm.test,082220000024,Sinar EduTech,Inactive,
CUST-CSV-025,Customer CSV 25,customer.csv.025@smartcrm.test,082220000025,Astra Prima,Lead,
CUST-CSV-026,Customer CSV 26,customer.csv.026@smartcrm.test,082220000026,Nusantara Digital,Active,
CUST-CSV-027,Customer CSV 27,customer.csv.027@smartcrm.test,082220000027,Mitra Retail Jaya,Customer,
CUST-CSV-028,Customer CSV 28,customer.csv.028@smartcrm.test,082220000028,Borneo Logistics,Inactive,
CUST-CSV-029,Customer CSV 29,customer.csv.029@smartcrm.test,082220000029,Sinar EduTech,Lead,
CUST-CSV-030,Customer CSV 30,customer.csv.030@smartcrm.test,082220000030,Astra Prima,Active,
CUST-CSV-031,Customer CSV 31,customer.csv.031@smartcrm.test,082220000031,Nusantara Digital,Customer,
CUST-CSV-032,Customer CSV 32,customer.csv.032@smartcrm.test,082220000032,Mitra Retail Jaya,Inactive,
CUST-CSV-033,Customer CSV 33,customer.csv.033@smartcrm.test,082220000033,Borneo Logistics,Lead,
CUST-CSV-034,Customer CSV 34,customer.csv.034@smartcrm.test,082220000034,Sinar EduTech,Active,
CUST-CSV-035,Customer CSV 35,customer.csv.035@smartcrm.test,082220000035,Astra Prima,Customer,
CUST-CSV-036,Customer CSV 36,customer.csv.036@smartcrm.test,082220000036,Nusantara Digital,Inactive,
CUST-CSV-037,Customer CSV 37,customer.csv.037@smartcrm.test,082220000037,Mitra Retail Jaya,Lead,
CUST-CSV-038,Customer CSV 38,customer.csv.038@smartcrm.test,082220000038,Borneo Logistics,Active,
CUST-CSV-039,Customer CSV 39,customer.csv.039@smartcrm.test,082220000039,Sinar EduTech,Customer,
CUST-CSV-040,Customer CSV 40,customer.csv.040@smartcrm.test,082220000040,Astra Prima,Inactive,
CUST-CSV-041,Customer CSV 41,customer.csv.041@smartcrm.test,082220000041,Nusantara Digital,Lead,
CUST-CSV-042,Customer CSV 42,customer.csv.042@smartcrm.test,082220000042,Mitra Retail Jaya,Active,
CUST-CSV-043,Customer CSV 43,customer.csv.043@smartcrm.test,082220000043,Borneo Logistics,Customer,
CUST-CSV-044,Customer CSV 44,customer.csv.044@smartcrm.test,082220000044,Sinar EduTech,Inactive,
CUST-CSV-045,Customer CSV 45,customer.csv.045@smartcrm.test,082220000045,Astra Prima,Lead,
CUST-CSV-046,Customer CSV 46,customer.csv.046@smartcrm.test,082220000046,Nusantara Digital,Active,
CUST-CSV-047,Customer CSV 47,customer.csv.047@smartcrm.test,082220000047,Mitra Retail Jaya,Customer,
CUST-CSV-048,Customer CSV 48,customer.csv.048@smartcrm.test,082220000048,Borneo Logistics,Inactive,
CUST-CSV-049,Customer CSV 49,customer.csv.049@smartcrm.test,082220000049,Sinar EduTech,Lead,
CUST-CSV-050,Customer CSV 50,customer.csv.050@smartcrm.test,082220000050,Astra Prima,Active,
